Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,7,213,Mike Green,RB,2002,0,0,0,2,32,0,2,0,0,2,36,142,1,19,121,2,,,Houston
2000,7,237,Wes Shivers,T,2000,0,0,0,0,3,,,,,,,,,,,,,,Mississippi St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1999,1,16,Jevon Kearse,DE,2009,1,3,8,69,133,,,,,,,,,,,,1,74.0,Florida
1999,2,52,John Thornton,DT,2008,0,0,8,50,143,,,,,,,,,,,,1,27.5,West Virginia
1999,3,81,Zach Piller,G,2006,0,0,4,25,87,,,,,,,,,,,,,,Florida
1999,4,114,Brad Ware,DB,,0,0,0,,,,,,,,,,,,,,,,Auburn
1999,4,117,Donald Mitchell,DB,2002,0,0,1,8,44,,,,,,,,,,,,2,,SMU
1999,5,151,Kevin Daft,QB,,0,0,0,,,,,,,,,,,,,,,,California-Davis
1999,6,186,Darran Hall,WR,,0,0,0,,,,,,,,,,,,,,,,Colorado St.
1999,7,222,Phil Glover,LB,2000,0,0,0,1,10,,,,,,,,,,,,,,Utah
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1998,1,16,Kevin Dyson,WR,2003,0,0,3,22,59,,,,,,4,3,0,178,2325,18,,,Utah
1998,2,46,Samari Rolle,DB,2008,1,1,9,64,149,,,,,,,,,,,,31,9.5,Florida St.
1998,3,77,Dainon Sidney,DB,2003,0,0,0,6,50,,,,,,,,,,,,6,,Ala-Birmingham
1998,4,107,Joe Salave'a,DT,2006,0,0,2,20,100,,,,,,,,,,,,,7.5,Arizona
1998,5,139,Benji Olson,G,2007,0,0,9,46,152,,,,,,,,,,,,,,Washington
1998,6,168,Lee Wiggins,DB,,0,0,0,,,,,,,,,,,,,,,,South Carolina
1998,7,205,Jimmy Sprotte,LB,1999,0,0,0,0,9,,,,,,,,,,,,,,Arizona
1998,7,229,Kevin Long,C,2001,0,0,2,14,63,,,,,,,,,,,,,,Florida St.
