Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1994,2,46,Larry Allen HOF,G,2007,6,11,13,85,203,,,,,,,,,,,,,,Sonoma St.
1994,3,102,George Hegamin,T,2000,0,0,1,8,64,,,,,,,,,,,,,,North Carolina St.
1994,4,109,Willie Jackson,WR,2002,0,0,3,30,113,,,,,,4,16,0,284,3641,24,,,Florida
1994,4,131,DeWayne Dotson,LB,1997,0,0,0,2,25,,,,,,,,,1,4,0,,,Mississippi
1994,6,191,Darren Studstill,DB,1996,0,0,0,0,16,,,,,,,,,,,,,,West Virginia
1994,7,216,Toddrick McIntosh,DE,1995,0,0,0,1,15,,,,,,,,,,,,,2.0,Florida St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1993,2,46,Kevin Williams,WR,2000,0,0,2,27,121,,,,,,34,167,2,178,2314,7,,,Miami (FL)
1993,2,54,Darrin Smith,LB,2004,0,0,10,55,156,,,,,,,,,,,,11,24.0,Miami (FL)
1993,3,84,Mike Middleton,DB,,0,0,0,,,,,,,,,,,,,,,,Indiana
1993,4,94,Derrick Lassic,RB,1993,0,0,0,3,10,,,,,,75,269,3,9,37,0,,,Alabama
1993,4,96,Ron Stone,G,2005,0,3,9,50,173,,,,,,,,,,,,,,Boston Col.
1993,6,168,Barry Minter,LB,2001,0,0,3,32,111,,,,,,,,,,,,5,11.5,Tulsa
1993,7,196,Brock Marion,DB,2004,0,3,10,56,182,,,,,,,,,,,,31,2.0,Nevada-Reno
1993,8,203,Dave Thomas,DB,2001,0,0,3,26,130,,,,,,,,,,,,9,,Tennessee
1993,8,213,Reggie Givens,LB,2000,0,0,0,3,41,,,,,,,,,,,,,,Penn St.
