Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1997,5,163,June Henley,RB,1998,0,0,0,4,11,,,,,,88,313,3,35,252,0,,,Kansas
1997,6,195,Isaac Byrd,WR,2002,0,0,0,10,61,,,,,,2,-2,0,93,1229,6,,,Kansas
1997,7,214,Nathan Parks,T,1999,0,0,0,0,2,,,,,,,,,,,,,,Stanford
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1996,1,28,Jerome Woods,DB,2005,0,1,7,42,128,,,,,,,,,,,,15,5.0,Memphis
1996,2,58,Reggie Tongue,DB,2005,0,0,7,46,145,,,,,,,,,,,,15,9.5,Oregon St.
1996,3,68,John Browning,DT,2005,0,0,5,39,121,,,,,,,,,,,,1,27.5,West Virginia
1996,4,98,Donnie Edwards,LB,2008,0,1,11,83,197,,,,,,,,,,,,28,23.5,UCLA
1996,5,135,Joe Horn,WR,2007,0,4,8,69,163,1,3,14,0,0,14,54,0,603,8744,58,,,Itawamba JC
1996,6,176,Dietrich Jells,WR,1999,0,0,0,1,41,,,,,,2,9,0,14,247,2,,,Pittsburgh
1996,7,211,Ben Lynch,C,2002,0,0,0,4,52,,,,,,,,,,,,,,California
1996,7,241,Jeff Smith,C,2001,0,0,2,15,59,,,,,,,,,,,,,,Tennessee
1996,7,245,Darrell Williams,DB,,0,0,0,,,,,,,,,,,,,,,,Tennessee St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1995,1,31,Trezelle Jenkins,T,1997,0,0,0,1,9,,,,,,,,,,,,,,Michigan
1995,3,81,Tamarick Vanover,WR,2002,0,0,0,12,77,,,,,,17,88,0,39,564,3,,,Florida St.
1995,3,97,Troy Dumas,LB,1997,0,0,0,2,15,,,,,,,,,,,,,1.0,Nebraska
